transaction_id,store_id,sale_date,product_id,product_name,units_sold,sales_amount
TRX0000001,S02,20260105 09:49:51,P005,Roll-on Deodorant,1,45.0
TRX0000002,S03,20260105 15:22:24,P001,Cola,2,40.0
TRX0000003,S07,20260105 16:44:30,P008,Instant Cup Nooddle,2,30.0
TRX0000004,S01,20260105 20:21:23,P019,Cigarette Pack,1,120.0
TRX0000005,S09,20260105 11:39:35,P011,Potato Chips,3,90.0
TRX0000006,S04,20260105 09:49:44,P014,Loaf of Bread,1,35.0
TRX0000007,S09,20260105 13:24:06,P003,Ice cream,3,45.0
TRX0000008,S05,20260105 12:19:49,P015,Bar Soap,1,15.0
TRX0000009,S07,20260105 09:48:45,P019,Cigarette Pack,1,120.0
TRX0000010,S08,20260105 16:37:40,P006,Beer can,2,110.0
TRX0000011,S01,20260105 14:35:42,P003,Ice cream,2,30.0
TRX0000012,S10,20260105 16:13:04,P005,Roll-on Deodorant,1,45.0
TRX0000013,S02,20260105 10:33:01,P001,Cola,6,120.0
TRX0000014,S10,20260105 20:53:01,P008,Instant Cup Nooddle,3,45.0
TRX0000015,S04,20260105 21:46:47,P001,Cola,5,100.0
TRX0000016,S10,20260105 17:58:51,P019,Cigarette Pack,1,120.0
TRX0000017,S04,20260105 12:53:34,P006,Beer can,2,110.0
TRX0000018,S05,20260105 13:28:12,P003,Ice cream,4,60.0
TRX0000019,S01,20260105 14:01:40,P006,Beer can,2,110.0
TRX0000020,S10,20260105 16:39:56,P004,Drinking Water 1.5 Litre,4,60.0
TRX0000021,S01,20260105 08:56:21,P001,Cola,5,100.0
TRX0000022,S02,20260105 17:51:02,P001,Cola,6,120.0
TRX0000023,S02,20260105 12:01:50,P019,Cigarette Pack,1,120.0
TRX0000024,S05,20260105 13:57:48,P019,Cigarette Pack,1,120.0
TRX0000025,S04,20260105 16:58:08,P012,Mosquito Repellent,1,65.0
TRX0000026,S02,20260105 14:41:43,P008,Instant Cup Nooddle,4,60.0
TRX0000027,S08,20260105 19:04:34,P017,Fish Sauce,1,30.0
TRX0000028,S04,20260105 17:02:08,P003,Ice cream,4,60.0
TRX0000029,S02,20260105 08:45:41,P008,Instant Cup Nooddle,4,60.0
TRX0000030,S02,20260105 21:49:30,P009,Cold Medicine,1,35.0
TRX0000031,S06,20260105 21:17:44,P020,Dishwashing Liquid,1,30.0
TRX0000032,S09,20260105 17:29:41,P001,Cola,6,120.0
TRX0000033,S04,20260105 21:56:41,P005,Roll-on Deodorant,1,45.0
TRX0000034,S09,20260105 09:06:46,P019,Cigarette Pack,1,120.0
TRX0000035,S07,20260105 10:57:30,P007,Instant Coffee,2,20.0
TRX0000036,S07,20260105 21:05:20,P010,Folding Umbrella,1,100.0
TRX0000037,S04,20260105 17:51:50,P011,Potato Chips,3,90.0
TRX0000038,S06,20260105 20:22:48,P001,Cola,4,80.0
TRX0000039,S08,20260105 12:44:27,P015,Bar Soap,1,15.0
TRX0000040,S09,20260105 21:29:52,P003,Ice cream,2,30.0
TRX0000041,S03,20260105 09:23:38,P004,Drinking Water 1.5 Litre,3,45.0
TRX0000042,S01,20260105 10:07:09,P004,Drinking Water 1.5 Litre,4,60.0
TRX0000043,S04,20260105 14:40:55,P001,Cola,5,100.0
TRX0000044,S06,20260105 08:33:44,P012,Mosquito Repellent,1,65.0
TRX0000045,S07,20260105 19:56:26,P003,Ice cream,4,60.0
TRX0000046,S06,20260105 14:52:26,P003,Ice cream,3,45.0
TRX0000047,S01,20260105 16:23:58,P006,Beer can,2,110.0
TRX0000048,S05,20260105 14:44:04,P001,Cola,5,100.0
TRX0000049,S08,20260105 21:48:23,P008,Instant Cup Nooddle,3,45.0
TRX0000050,S01,20260105 10:29:18,P001,Cola,7,140.0
TRX0000051,S07,20260105 13:21:25,P004,Drinking Water 1.5 Litre,3,45.0
TRX0000052,S01,20260105 21:12:09,P005,Roll-on Deodorant,1,45.0
TRX0000053,S03,20260105 09:09:51,P007,Instant Coffee,1,10.0
TRX0000054,S03,20260105 19:37:28,P006,Beer can,3,165.0
TRX0000055,S09,20260105 17:29:44,P003,Ice cream,3,45.0
TRX0000056,S08,20260105 18:24:33,P001,Cola,5,100.0
TRX0000057,S01,20260105 11:18:42,P018,Jasmine Rice 1 Kg,1,40.0
TRX0000058,S09,20260105 17:12:55,P003,Ice cream,3,45.0
TRX0000059,S07,20260105 13:07:22,P006,Beer can,4,220.0
TRX0000060,S09,20260105 10:57:51,P020,Dishwashing Liquid,1,30.0
TRX0000061,S07,20260105 08:37:24,P002,Electrolyte Drink,1,25.0
TRX0000062,S04,20260105 15:08:01,P008,Instant Cup Nooddle,2,30.0
TRX0000063,S07,20260105 09:14:34,P017,Fish Sauce,1,30.0
TRX0000064,S06,20260105 16:39:46,P008,Instant Cup Nooddle,3,45.0
TRX0000065,S08,20260105 09:28:37,P001,Cola,6,120.0
TRX0000066,S07,20260105 14:14:20,P009,Cold Medicine,1,35.0
TRX0000067,S02,20260105 16:51:37,P004,Drinking Water 1.5 Litre,5,75.0
TRX0000068,S09,20260105 11:03:23,P001,Cola,5,100.0
TRX0000069,S03,20260105 12:27:26,P008,Instant Cup Nooddle,3,45.0
TRX0000070,S01,20260105 18:18:38,P012,Mosquito Repellent,1,65.0
TRX0000071,S03,20260105 19:24:54,P008,Instant Cup Nooddle,4,60.0
TRX0000072,S07,20260105 09:39:42,P017,Fish Sauce,1,30.0
TRX0000073,S06,20260105 08:17:41,P004,Drinking Water 1.5 Litre,4,60.0
TRX0000074,S06,20260105 21:04:03,P012,Mosquito Repellent,1,65.0
TRX0000075,S02,20260105 20:08:04,P017,Fish Sauce,1,30.0
TRX0000076,S08,20260105 14:38:53,P006,Beer can,2,110.0
TRX0000077,S02,20260105 20:52:06,P004,Drinking Water 1.5 Litre,4,60.0
TRX0000078,S09,20260105 13:12:38,P017,Fish Sauce,1,30.0
TRX0000079,S01,20260105 10:41:25,P001,Cola,5,100.0
TRX0000080,S05,20260105 08:01:57,P006,Beer can,2,110.0
TRX0000081,S09,20260105 17:39:54,P009,Cold Medicine,1,35.0
TRX0000082,S05,20260105 10:59:34,P003,Ice cream,4,60.0
TRX0000083,S05,20260105 17:34:19,P015,Bar Soap,1,15.0
TRX0000084,S07,20260105 08:29:04,P016,Toothpaste,1,55.0
TRX0000085,S02,20260105 21:14:29,P011,Potato Chips,4,120.0
TRX0000086,S07,20260105 16:58:39,P006,Beer can,2,110.0
TRX0000087,S03,20260105 19:48:40,P009,Cold Medicine,1,35.0
TRX0000088,S09,20260105 18:47:01,P014,Loaf of Bread,1,35.0
TRX0000089,S04,20260105 13:33:56,P017,Fish Sauce,1,30.0
