transaction_id,store_id,sale_date,product_id,product_name,units_sold,sales_amount
TRX0000001,S06,20260107 14:37:26,P003,Ice cream,4,60.0
TRX0000002,S09,20260107 13:51:05,P019,Cigarette Pack,1,120.0
TRX0000003,S04,20260107 17:49:12,P018,Jasmine Rice 1 Kg,1,40.0
TRX0000004,S06,20260107 11:03:28,P012,Mosquito Repellent,1,65.0
TRX0000005,S06,20260107 09:54:13,P004,Drinking Water 1.5 Litre,5,75.0
TRX0000006,S09,20260107 15:25:35,P014,Loaf of Bread,2,70.0
TRX0000007,S09,20260107 09:38:55,P016,Toothpaste,1,55.0
TRX0000008,S02,20260107 17:11:38,P016,Toothpaste,1,55.0
TRX0000009,S09,20260107 20:15:44,P001,Cola,5,100.0
TRX0000010,S09,20260107 12:12:56,P015,Bar Soap,1,15.0
TRX0000011,S02,20260107 15:57:35,P006,Beer can,3,165.0
TRX0000012,S07,20260107 17:49:43,P016,Toothpaste,1,55.0
TRX0000013,S07,20260107 19:54:03,P002,Electrolyte Drink,1,25.0
TRX0000014,S01,20260107 17:42:24,P005,Roll-on Deodorant,1,45.0
TRX0000015,S01,20260107 18:15:16,P003,Ice cream,3,45.0
TRX0000016,S07,20260107 17:07:12,P001,Cola,6,120.0
TRX0000017,S07,20260107 12:37:25,P008,Instant Cup Nooddle,4,60.0
TRX0000018,S05,20260107 19:36:13,P018,Jasmine Rice 1 Kg,1,40.0
TRX0000019,S03,20260107 18:35:44,P019,Cigarette Pack,1,120.0
TRX0000020,S09,20260107 21:41:39,P020,Dishwashing Liquid,1,30.0
TRX0000021,S01,20260107 09:40:25,P020,Dishwashing Liquid,1,30.0
TRX0000022,S05,20260107 17:03:59,P012,Mosquito Repellent,1,65.0
TRX0000023,S07,20260107 13:15:05,P008,Instant Cup Nooddle,3,45.0
TRX0000024,S09,20260107 10:14:21,P019,Cigarette Pack,1,120.0
TRX0000025,S10,20260107 10:19:48,P016,Toothpaste,1,55.0
TRX0000026,S06,20260107 08:36:55,P001,Cola,5,100.0
TRX0000027,S06,20260107 20:13:12,P008,Instant Cup Nooddle,3,45.0
TRX0000028,S08,20260107 09:16:23,P005,Roll-on Deodorant,1,45.0
TRX0000029,S06,20260107 08:18:45,P017,Fish Sauce,1,30.0
TRX0000030,S08,20260107 16:48:07,P017,Fish Sauce,1,30.0
TRX0000031,S10,20260107 15:11:12,P004,Drinking Water 1.5 Litre,4,60.0
TRX0000032,S10,20260107 18:52:51,P014,Loaf of Bread,2,70.0
TRX0000033,S03,20260107 13:58:00,P009,Cold Medicine,1,35.0
TRX0000034,S06,20260107 08:20:34,P016,Toothpaste,1,55.0
TRX0000035,S05,20260107 08:38:29,P011,Potato Chips,2,60.0
TRX0000036,S07,20260107 09:53:26,P018,Jasmine Rice 1 Kg,1,40.0
TRX0000037,S05,20260107 12:13:19,P011,Potato Chips,3,90.0
TRX0000038,S04,20260107 20:33:10,P020,Dishwashing Liquid,1,30.0
TRX0000039,S07,20260107 21:00:15,P005,Roll-on Deodorant,1,45.0
TRX0000040,S02,20260107 17:11:35,P018,Jasmine Rice 1 Kg,1,40.0
TRX0000041,S02,20260107 13:28:36,P018,Jasmine Rice 1 Kg,1,40.0
TRX0000042,S10,20260107 17:23:47,P004,Drinking Water 1.5 Litre,4,60.0
TRX0000043,S02,20260107 20:52:29,P006,Beer can,4,220.0
TRX0000044,S07,20260107 08:42:33,P006,Beer can,4,220.0
TRX0000045,S08,20260107 08:22:14,P001,Cola,6,120.0
TRX0000046,S09,20260107 12:53:11,P008,Instant Cup Nooddle,4,60.0
TRX0000047,S03,20260107 13:50:41,P001,Cola,6,120.0
TRX0000048,S07,20260107 08:42:35,P003,Ice cream,2,30.0
TRX0000049,S08,20260107 12:23:01,P016,Toothpaste,1,55.0
TRX0000050,S01,20260107 10:10:27,P002,Electrolyte Drink,1,25.0
TRX0000051,S05,20260107 15:52:54,P004,Drinking Water 1.5 Litre,4,60.0
TRX0000052,S02,20260107 15:53:33,P005,Roll-on Deodorant,1,45.0
TRX0000053,S08,20260107 16:55:29,P011,Potato Chips,4,120.0
TRX0000054,S01,20260107 18:56:21,P008,Instant Cup Nooddle,3,45.0
TRX0000055,S09,20260107 08:16:39,P019,Cigarette Pack,1,120.0
TRX0000056,S05,20260107 09:11:41,P012,Mosquito Repellent,1,65.0
TRX0000057,S02,20260107 09:17:28,P017,Fish Sauce,1,30.0
TRX0000058,S09,20260107 21:43:59,P001,Cola,4,80.0
TRX0000059,S09,20260107 18:45:53,P001,Cola,5,100.0
TRX0000060,S05,20260107 11:38:22,P014,Loaf of Bread,1,35.0
TRX0000061,S07,20260107 20:37:52,P001,Cola,5,100.0
TRX0000062,S02,20260107 19:23:10,P019,Cigarette Pack,1,120.0
TRX0000063,S10,20260107 14:36:23,P008,Instant Cup Nooddle,4,60.0
TRX0000064,S01,20260107 17:07:48,P014,Loaf of Bread,2,70.0
TRX0000065,S06,20260107 17:51:51,P020,Dishwashing Liquid,1,30.0
TRX0000066,S07,20260107 12:06:00,P018,Jasmine Rice 1 Kg,1,40.0
TRX0000067,S09,20260107 17:49:19,P004,Drinking Water 1.5 Litre,4,60.0
TRX0000068,S09,20260107 16:06:37,P006,Beer can,2,110.0
TRX0000069,S09,20260107 08:22:51,P002,Electrolyte Drink,1,25.0
TRX0000070,S06,20260107 08:10:16,P014,Loaf of Bread,1,35.0
TRX0000071,S09,20260107 14:43:08,P013,Candle,1,10.0
TRX0000072,S07,20260107 15:57:27,P014,Loaf of Bread,1,35.0
TRX0000073,S09,20260107 13:38:07,P008,Instant Cup Nooddle,4,60.0
TRX0000074,S02,20260107 08:57:22,P020,Dishwashing Liquid,1,30.0
TRX0000075,S02,20260107 19:58:34,P004,Drinking Water 1.5 Litre,3,45.0
TRX0000076,S09,20260107 11:26:36,P011,Potato Chips,3,90.0
