transaction_id,store_id,sale_date,product_id,product_name,units_sold,sales_amount
TRX0000001,S09,20260104 21:46:30,P013,Candle,1,10.0
TRX0000002,S09,20260104 17:27:13,P014,Loaf of Bread,1,35.0
TRX0000003,S04,20260104 15:32:53,P011,Potato Chips,4,120.0
TRX0000004,S06,20260104 16:24:55,P004,Drinking Water 1.5 Litre,5,75.0
TRX0000005,S01,20260104 09:24:04,P019,Cigarette Pack,1,120.0
TRX0000006,S02,20260104 09:54:37,P004,Drinking Water 1.5 Litre,4,60.0
TRX0000007,S07,20260104 12:04:14,P011,Potato Chips,3,90.0
TRX0000008,S02,20260104 14:37:30,P020,Dishwashing Liquid,1,30.0
TRX0000009,S01,20260104 16:46:43,P015,Bar Soap,1,15.0
TRX0000010,S05,20260104 11:05:58,P004,Drinking Water 1.5 Litre,5,75.0
TRX0000011,S01,20260104 16:41:16,P006,Beer can,3,165.0
TRX0000012,S05,20260104 21:25:28,P007,Instant Coffee,1,10.0
TRX0000013,S07,20260104 16:19:17,P012,Mosquito Repellent,1,65.0
TRX0000014,S01,20260104 21:21:42,P001,Cola,6,120.0
TRX0000015,S06,20260104 15:53:21,P019,Cigarette Pack,1,120.0
TRX0000016,S08,20260104 20:33:38,P004,Drinking Water 1.5 Litre,4,60.0
TRX0000017,S02,20260104 17:16:00,P004,Drinking Water 1.5 Litre,4,60.0
TRX0000018,S09,20260104 21:18:05,P016,Toothpaste,1,55.0
TRX0000019,S01,20260104 10:07:32,P003,Ice cream,4,60.0
TRX0000020,S08,20260104 10:25:16,P014,Loaf of Bread,2,70.0
TRX0000021,S07,20260104 22:34:44,P019,Cigarette Pack,1,120.0
TRX0000022,S02,20260104 09:06:15,P011,Potato Chips,4,120.0
TRX0000023,S02,20260104 22:22:34,P019,Cigarette Pack,1,120.0
TRX0000024,S09,20260104 20:31:36,P018,Jasmine Rice 1 Kg,1,40.0
TRX0000025,S08,20260104 14:48:15,P011,Potato Chips,4,120.0
TRX0000026,S07,20260104 22:36:08,P015,Bar Soap,1,15.0
TRX0000027,S08,20260104 17:04:38,P016,Toothpaste,1,55.0
TRX0000028,S09,20260104 12:25:38,P019,Cigarette Pack,1,120.0
TRX0000029,S07,20260104 15:01:14,P004,Drinking Water 1.5 Litre,5,75.0
TRX0000030,S07,20260104 16:13:22,P007,Instant Coffee,1,10.0
TRX0000031,S01,20260104 08:48:55,P006,Beer can,2,110.0
TRX0000032,S05,20260104 15:48:14,P018,Jasmine Rice 1 Kg,1,40.0
TRX0000033,S02,20260104 14:55:25,P019,Cigarette Pack,1,120.0
TRX0000034,S07,20260104 15:12:49,P004,Drinking Water 1.5 Litre,5,75.0
TRX0000035,S09,20260104 10:28:52,P016,Toothpaste,1,55.0
TRX0000036,S04,20260104 10:58:45,P009,Cold Medicine,1,35.0
TRX0000037,S03,20260104 20:19:44,P019,Cigarette Pack,1,120.0
TRX0000038,S01,20260104 20:26:13,P011,Potato Chips,3,90.0
TRX0000039,S09,20260104 21:04:45,P011,Potato Chips,3,90.0
TRX0000040,S01,20260104 14:16:35,P004,Drinking Water 1.5 Litre,4,60.0
TRX0000041,S01,20260104 17:52:22,P008,Instant Cup Nooddle,3,45.0
TRX0000042,S02,20260104 20:46:37,P011,Potato Chips,4,120.0
TRX0000043,S10,20260104 17:39:34,P003,Ice cream,3,45.0
TRX0000044,S06,20260104 15:51:13,P006,Beer can,3,165.0
TRX0000045,S09,20260104 11:42:17,P003,Ice cream,2,30.0
TRX0000046,S03,20260104 09:59:59,P011,Potato Chips,3,90.0
TRX0000047,S09,20260104 15:07:55,P004,Drinking Water 1.5 Litre,3,45.0
TRX0000048,S01,20260104 20:01:14,P004,Drinking Water 1.5 Litre,5,75.0
TRX0000049,S09,20260104 11:16:22,P001,Cola,7,140.0
TRX0000050,S01,20260104 14:47:51,P004,Drinking Water 1.5 Litre,5,75.0
TRX0000051,S07,20260104 15:03:44,P006,Beer can,2,110.0
TRX0000052,S09,20260104 09:41:34,P019,Cigarette Pack,1,120.0
TRX0000053,S04,20260104 21:04:49,P006,Beer can,2,110.0
TRX0000054,S10,20260104 21:14:33,P008,Instant Cup Nooddle,3,45.0
TRX0000055,S07,20260104 14:45:41,P009,Cold Medicine,1,35.0
TRX0000056,S01,20260104 14:41:59,P001,Cola,5,100.0
TRX0000057,S09,20260104 14:47:47,P014,Loaf of Bread,1,35.0
TRX0000058,S07,20260104 11:12:06,P006,Beer can,1,55.0
TRX0000059,S09,20260104 10:00:07,P019,Cigarette Pack,1,120.0
TRX0000060,S03,20260104 14:04:05,P008,Instant Cup Nooddle,2,30.0
TRX0000061,S06,20260104 10:55:03,P004,Drinking Water 1.5 Litre,4,60.0
TRX0000062,S07,20260104 20:37:04,P004,Drinking Water 1.5 Litre,5,75.0
TRX0000063,S09,20260104 11:37:36,P008,Instant Cup Nooddle,3,45.0
TRX0000064,S07,20260104 20:55:41,P012,Mosquito Repellent,1,65.0
TRX0000065,S09,20260104 16:31:40,P011,Potato Chips,2,60.0
TRX0000066,S07,20260104 10:41:45,P001,Cola,7,140.0
TRX0000067,S03,20260104 10:34:00,P018,Jasmine Rice 1 Kg,1,40.0
TRX0000068,S02,20260104 14:13:27,P013,Candle,1,10.0
TRX0000069,S01,20260104 22:12:14,P017,Fish Sauce,1,30.0
TRX0000070,S02,20260104 12:03:47,P003,Ice cream,3,45.0
TRX0000071,S08,20260104 15:20:11,P017,Fish Sauce,1,30.0
TRX0000072,S02,20260104 12:51:42,P012,Mosquito Repellent,1,65.0
TRX0000073,S07,20260104 21:40:31,P008,Instant Cup Nooddle,4,60.0
TRX0000074,S10,20260104 10:39:38,P001,Cola,4,80.0
TRX0000075,S06,20260104 11:55:58,P019,Cigarette Pack,1,120.0
TRX0000076,S03,20260104 21:38:01,P008,Instant Cup Nooddle,3,45.0
TRX0000077,S01,20260104 18:56:30,P004,Drinking Water 1.5 Litre,3,45.0
TRX0000078,S06,20260104 11:45:15,P007,Instant Coffee,1,10.0
TRX0000079,S10,20260104 16:17:43,P006,Beer can,2,110.0
TRX0000080,S09,20260104 09:24:58,P006,Beer can,3,165.0
TRX0000081,S05,20260104 14:24:08,P008,Instant Cup Nooddle,4,60.0
TRX0000082,S05,20260104 17:41:22,P014,Loaf of Bread,1,35.0
TRX0000083,S07,20260104 14:53:38,P014,Loaf of Bread,2,70.0
TRX0000084,S02,20260104 17:36:25,P002,Electrolyte Drink,1,25.0
TRX0000085,S03,20260104 19:38:25,P015,Bar Soap,1,15.0
TRX0000086,S04,20260104 11:39:33,P008,Instant Cup Nooddle,2,30.0
TRX0000087,S07,20260104 09:04:36,P001,Cola,3,60.0
TRX0000088,S09,20260104 22:17:14,P019,Cigarette Pack,1,120.0
TRX0000089,S04,20260104 20:38:50,P008,Instant Cup Nooddle,3,45.0
TRX0000090,S04,20260104 16:10:25,P016,Toothpaste,1,55.0
TRX0000091,S01,20260104 09:23:33,P019,Cigarette Pack,1,120.0
TRX0000092,S01,20260104 18:01:26,P012,Mosquito Repellent,1,65.0
TRX0000093,S07,20260104 20:59:26,P017,Fish Sauce,1,30.0
TRX0000094,S07,20260104 10:05:20,P005,Roll-on Deodorant,1,45.0
